Event Type,Title,Description,Date,Time,Event URL
Undervisning Tegn og mal med tvist,Tegn og mal med tvist,"Vi undervises af to med hobby indenfor tegn/mal/broderer på gamle malerier (Sandie) og akvarel på papir (Kirsten). Vi har materialerne, du dukker bare op de mandage du kan. Er der problemer med at komme ind på Det Gamle Posthus, så ring på (26152304).",Man. 20. okt. 2025 til man. 29. jun. 2026 17:00-20.00,17:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19262679
Undervisning Social madlavning for mænd,Social madlavning for mænd,"2 kokke underviser i madlavning af madspilsmad. Der er plads til 10 personer i køkkenet hver gang. Tilmeld dig senest tirsdag i den uge du ønsker at deltage, SMS til 26152304.

  Arrangeret af Folkehuset Kolding.",Ons. 22. okt. 2025 til ons. 24. jun. 2026 17:00-20.30,17:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19262683
Billedkunst Galleri Nick Gade Art,Galleri Nick Gade Art,Kunstudstillingen er intuitiv billedkunst som du finder i gågaden Søndergade 15B 6000 Kolding. Åben Torsdag/Fredag 11.00 - 17.00 Lørdag 10.00 - 14.00 Øvrige dage er der muligvis åbent. Kontakt galleriet: maler@nickgade.dk 22397382.,Tor. 1. jan. til tor. 31. dec. 2026 Torsdag/fredag 11:00 17:00 Lørdag 10:00 14:00,11:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19883092
Historisk Udstilling: Christiansfeld - En by bliver til,Udstilling: Christiansfeld - En by bliver til,"Se genstande fra Brødremenigheds store samling og bliv klogere på Brødremenigheden og Christiansfeld. Brødremenigheden og Museum Kolding er gået sammen om en udstilling, som inviterer dig med på en rejse tilbage til årene omkring 1800 i Christiansfeld.",Fre. 2. jan. til tir. 22. dec. 2026 10:00 - 16:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18176130
Kunsthåndværk Udstilling: Vores Smykker,Udstilling: Vores Smykker,"Besøg udstillingen i Søstrehuset i Christiansfeld og se et uddrag af Statens Kunstfond smykkesamling. Smykker er små kunstværker, der kommer til live på kroppen.",Fre. 2. jan. til tir. 22. dec. 2026 10:00 - 16:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18176132
Installation Moravian church settlements,Moravian church settlements,"I sommeren 2024 blev Christiansfelds verdensarvsstatus udvidet. I Søstrehuset kan man i en lille ny udstilling; Moravian Church Settlement, se og læse historien om herrnhuterstjernen, der er et centralt symbol i den internationale Brødremenighed.",Fre. 2. jan. til tir. 22. dec. 2026 10:00 - 16:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18176140
Historisk Udstilling: 1943 - Gestapo kommer,Udstilling: 1943 - Gestapo kommer,"Udstillingen tager udgangspunkt i de mennesker, der havde deres gang på Staldgården fra efteråret 1943 og frem til befrielsen. Både de modstandsfolk, der ridsede deres navn i væggen i Zelle II, og Gestapos folk, der befandt sig på den anden side.",Fre. 2. jan. til tir. 22. dec. 2026 10:00 - 16:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18176141
Historisk Zelle II - En filmisk forestilling,Zelle II - En filmisk forestilling,"Vær forberedt på dyster stemning og kuldegysninger, når du besøger den berygtede Zelle II - Danmarks eneste bevarede Gestapo-celle.",Fre. 2. jan. til tir. 22. dec. 2026 10:00-16:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19384145
Kunsthåndværk Kyster og Sølvet - Udstilling,Kyster og Sølvet - Udstilling,En ny udstilling af Museum Kolding i de historiske lokaler på Staldgården. Udstillingen 'Kyster og sølvet' viser historien om dansk sølv skabt i Kolding.,Fre. 2. jan. 2026 til ons. 22. dec. 2027 10:00 - 17:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18925206
Undervisning Kolding Kammerkor,Kolding Kammerkor,Arrangeret af FOF Sydjylland.,Man. 5. jan. til man. 1. jun. 2026 12 mødegange,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728058
Gymnastik/aerobic Yoga,Yoga,Arrangeret af FOF Sydjylland.,Man. 5. jan. til man. 15. jun. 2026 19 mødegange,18.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728689
Undervisning Kolding Bykor - Syng i kor,Kolding Bykor - Syng i kor,Arrangeret af FOF Sydjylland.,Tir. 6. jan. til tir. 19. maj 2026 18 mødegange,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728230
Gymnastik/aerobic Yoga,Yoga,Arrangeret af FOF Sydjylland.,Tir. 6. jan. til tir. 26. maj 2026 18 mødegange,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728712
Andet motionstilbud Hatha Yoga,Hatha Yoga,"Den mest kendte yogaform herhjemme er Hatha yoga, og kendetegnende for undervisningen er, at øvelserne opbygges roligt og bevidst, hvor man tager sig tid til at lytte til og respektere kroppen og dens grænser, og hvor man i hele processen øver sig i at.

  Arrangeret af FOF Sydjylland.",Tir. 6. jan. til tir. 9. jun. 2026 20 mødegange,16.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728497
Gymnastik/aerobic Yoga,Yoga,Arrangeret af FOF Sydjylland.,Tir. 6. jan. til tir. 16. jun. 2026 21 mødegange,11.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728687
Gymnastik/aerobic Glad bevægelse med øget puls - Særligt tilrettelagt,Glad bevægelse med øget puls - Særligt tilrettelagt,"Efter Helle Gotveds metode. Opnå velvære og styrk din krop ved en grundig opvarmning af kroppen i rytmiske bevægelser til god musik.

  Arrangeret af FOF Sydjylland.",Ons. 7. jan. til ons. 29. apr. 2026 13 mødegange,09.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19858958
Undervisning Keramik og morgenkaffe,Keramik og morgenkaffe,"Er du begynder eller let øvet? Så er dette kursus for dig. Der findes nok ikke en bedre måde at starte dagen på, end at fordybe sig i keramikken og lerets sanselige verden.

  Arrangeret af FOF Sydjylland.",Ons. 7. jan. til ons. 27. maj 2026 19 mødegange,12.40,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728049
Gymnastik/aerobic Yoga - Særligt tilrettelagt,Yoga - Særligt tilrettelagt,Arrangeret af FOF Sydjylland.,Ons. 7. jan. til ons. 3. jun. 2026 18 mødegange,12.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728599
Andet motionstilbud Yoga med De 5 Tibetanere,Yoga med De 5 Tibetanere,"De 5 tibetanere - kom godt i gang. Et kort introduktionsforløb til de 5 tibetanere. Du lærer De 5 Tibetanske Riter, så du er godt rustet til selv at fortsætte træningen derhjemme, hvis det er det du ønsker.

  Arrangeret af FOF Sydjylland.",Ons. 7. jan. til ons. 10. jun. 2026 20 mødegange,08.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728416
Gymnastik/aerobic Yoga,Yoga,Arrangeret af FOF Sydjylland.,Ons. 7. jan. til ons. 17. jun. 2026 20 mødegange,17.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728345
Andet motionstilbud Yoga for mænd,Yoga for mænd,Arrangeret af FOF Sydjylland.,Ons. 7. jan. til ons. 17. jun. 2026 20 mødegange,20.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728006
Undervisning Kolding Pipe Band,Kolding Pipe Band,Arrangeret af FOF Sydjylland.,Ons. 7. jan. til ons. 24. jun. 2026 23 mødegange,19.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728707
Gymnastik/aerobic Rygtræning,Rygtræning,Arrangeret af FOF Sydjylland.,Tor. 8. jan. til tor. 30. apr. 2026 15 mødegange,18.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728710
Andet motionstilbud Yoga for seniorer,Yoga for seniorer,"Blide øvelser der styrker kroppen og forebygger skavanker. Yoga er for alle - også selvom du måske har et par skavanker, som mange jo har når man er senior. Yoga er godt både for din krop og dit sind.

  Arrangeret af FOF Sydjylland.",Tor. 8. jan. til tor. 21. maj 2026 16 mødegange,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728631
Gymnastik/aerobic Yoga,Yoga,Arrangeret af FOF Sydjylland.,Tor. 8. jan. til tor. 18. jun. 2026 19 mødegange,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728022
Undervisning Syng i Nicolaikoret,Syng i Nicolaikoret,Arrangeret af FOF Sydjylland.,Man. 12. jan. til man. 4. maj 2026 17 mødegange,21.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728558
Undervisning Fransk for øvede - OK-Skolen,Fransk for øvede - OK-Skolen,Arrangeret af FOF Sydjylland.,Man. 12. jan. til man. 11. maj 2026 15 mødegange,11.50,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728606
"Undervisning Keramik, stentøj og porcelæn","Keramik, stentøj og porcelæn",Arrangeret af FOF Sydjylland.,Man. 12. jan. til man. 18. maj 2026 14 mødegange,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728431
Skøjteløb KoldingKoret,KoldingKoret,Arrangeret af FOF Sydjylland.,Tir. 13. jan. til lør. 9. maj 2026 14 mødegange,20.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19751012
Undervisning Italiensk for øvede - OK-Skolen,Italiensk for øvede - OK-Skolen,Arrangeret af FOF Sydjylland.,Tir. 13. jan. til tir. 12. maj 2026 15 mødegange,11.50,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728053
"Undervisning Maleri, akryl og akvarel","Maleri, akryl og akvarel",Arrangeret af FOF Sydjylland.,Man. 19. jan. til man. 27. apr. 2026 8 mødegange,09.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19351722
Undervisning Design med nål og tråd (sykursus),Design med nål og tråd (sykursus),Arrangeret af FOF Sydjylland.,Tor. 22. jan. til tor. 30. apr. 2026 13 mødegange,12.40,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19730958
Undervisning Design og syning - Særligt tilrettelagt,Design og syning - Særligt tilrettelagt,"For dig, der ikke kan deltage på et alment hold. Lær at sy eller bliv endnu bedre på dette sykursus for begyndere og øvede. Dette hold er for dig, der ikke kan deltage på et almindeligt hold.

  Arrangeret af FOF Sydjylland.",Tir. 27. jan. til tir. 5. maj 2026 13 mødegange,13.40,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728613
Undervisning Christiansfeld Gospelkor,Christiansfeld Gospelkor,Arrangeret af FOF Sydjylland.,Tir. 27. jan. til tir. 2. jun. 2026 16 mødegange,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19978705
Møder Samtalegruppe for pårørende,Samtalegruppe for pårørende,"Få hjælp til rollen som pårørende. Som pårørende til én med psykisk sygdom eller udviklingsforstyrrelse kan en samtalegruppe give nye perspektiver og redskaber til en bedre hverdag.

  Arrangeret af Bedre Psykiatri - Kolding.",Tir. 17. feb. til tir. 12. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19644171
Undervisning Dreje og pottemageri,Dreje og pottemageri,"På dette kursus kommer du til at dykke ned i teknikken, der kaldes at dreje med ler. Det kaldes at dreje, fordi man arbejder med leret på en drejeskive, hvor man benytter sig af centrifugalkraften til at forme leret.

  Arrangeret af FOF Sydjylland.",Tor. 19. feb. til tor. 30. apr. 2026 10 mødegange,15.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728644
Undervisning Guitarspil,Guitarspil,Arrangeret af FOF Sydjylland.,Ons. 25. feb. til ons. 6. maj 2026 10 mødegange,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728624
Billedkunst Kunstudstilling: En hyldest til snæbel-fisken,Kunstudstilling: En hyldest til snæbel-fisken,Oplev kunstudstillingen 'En hyldest til snæbel-fisken' i Vores Hus.,Tor. 26. feb. til søn. 31. maj 2026,23.59,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19686824
Natur Find Foråret i naturen,Find Foråret i naturen,Hjælp forskere med at registrere ændringer i klimaet.,Fre. 6. mar. til søn. 31. maj 2026,23.59,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19863171
Andet motionstilbud Qi Gong,Qi Gong,"Måske du har set reality serien ""Shaolin,"" hvor kendte danskere kommer tæt på Shaolin-munkene og deres livsførelse og træning?

  Arrangeret af FOF Sydjylland.",Man. 9. mar. til man. 4. maj 2026 8 mødegange,16.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19917892
Kunsthåndværk Vævede mesterværker,Vævede mesterværker,"Oplev nogle af Danmarks mest markante gobeliner og billedvævninger. Værker, der gennem mere end 550 år har vævet sig ind i både magten og folkets historie.",Fre. 27. mar. til søn. 25. okt. 2026 10:00 - 17:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19997104
Kunsthåndværk Udstilling: Vævede mesterværker,Udstilling: Vævede mesterværker,"Oplev nogle af Danmarks mest markante gobeliner og billedvævninger. Værker, der gennem mere end 550 år har vævet sig ind i både magten og folkets historie.",Fre. 27. mar. til søn. 25. okt. 2026 10:00-17:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19783845
Kunsthåndværk Slowlooking: Vævede mesterværker,Slowlooking: Vævede mesterværker,"Giv dig selv en unik kunstoplevelse i roligt tempo. Med slowlooking inviterer vi dig helt tæt på Vævede mesterværker, hvor du ser mere, mærker mere og går hjem med en oplevelse, der varer ved.",Søn. 29. mar. til søn. 30. aug. 2026 14:00-15:00,14:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19741592
"Workshop, Børn Barselsakademiet",Barselsakademiet,"Savner du kultur midt i bleer og babytid? Velkommen til Barselsakademiet, der er skabt til dig, der ønsker at fordybe dig i spændende fortællinger i barselsvenlige omgivelser.",Tir. 31. mar. til tir. 16. jun. 2026 10:00-11:00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19783847
"Undervisning Keramik, stentøj og porcelæn - Særligt tilrettelagt","Keramik, stentøj og porcelæn - Særligt tilrettelagt",Arrangeret af FOF Sydjylland.,Tir. 7. apr. til tor. 28. maj 2026 8 mødegange,12.40,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19895567
Undervisning Keramik,Keramik,Arrangeret af FOF Sydjylland.,Tor. 9. apr. til tor. 7. maj 2026 5 mødegange,21.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19773828
Undervisning Mensendieck,Mensendieck,Arrangeret af FOF Sydjylland.,Tor. 9. apr. til tor. 28. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19861899
Natur FredagsRO,FredagsRO,"Lad op til weekenden i grønne rammer med FredagsRO, hvor du får instruktion og viden til at øge kvaliteten af pauser og pusterum. Du lærer, hvordan du styrker harmonien i krop, sjæl og sanser med fokus på en masse positiv energi.",Fre. 10. apr. til fre. 26. jun. 2026 15:00-17:00,15:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19710116
Gymnastik/aerobic Pilates for alle,Pilates for alle,Arrangeret af FOF Sydjylland.,Man. 13. apr. til man. 18. maj 2026 6 mødegange,14.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728073
Undervisning Cellerciser,Cellerciser,Arrangeret af FOF Sydjylland.,Man. 13. apr. til man. 18. maj 2026 6 mødegange,15.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728010
Andet motionstilbud Cellerciser interval med pilates,Cellerciser interval med pilates,"Oplev en ny og sjov metode til at få en meget effektiv og skånsom træning på kort tid. Træning på cellerciseren er enkelt, praktisk og sjovt for alle.

  Arrangeret af FOF Sydjylland.",Man. 13. apr. til man. 18. maj 2026 6 mødegange,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728130
Workshop Iværksætterforløb hos Business Kolding,Iværksætterforløb hos Business Kolding,Overvejer du at starte virksomhed? På Business Koldings korte Iværksætterforløb får du viden til at komme godt i gang med din iværksætterrejse.,Ons. 15. apr. til ons. 6. maj 2026 17:00 - 20:00,17:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19586089
Undervisning Mavedans for begyndere,Mavedans for begyndere,"Drømmer du om en sjov og svedig motionsform, hvor du samtidig lærer noget nyt?. Få en energifyldt introduktion til mavedansens univers, hvor vi arbejder med grundlæggende teknik, isolationer, rytmeforståelse og bevægelsesmønstre.

  Arrangeret af FOF Sydjylland.",Ons. 15. apr. til ons. 17. jun. 2026 10 mødegange,17.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19852314
Danseundervisning Mavedans for øvede,Mavedans for øvede,Arrangeret af FOF Sydjylland.,Ons. 15. apr. til ons. 17. jun. 2026 10 mødegange,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19735952
Undervisning Fordybelse i ler og form - keramikhold for voksne,Fordybelse i ler og form - keramikhold for voksne,"Er du klar til at udfolde dine kreative sider i godt selskab? Kulturskolen Kolding inviterer voksne til et inspirerende keramikhold, hvor både begyndere og erfarne kan forme og skabe unikke kreationer i ler.",Tor. 16. apr. til tor. 28. maj 2026,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19808856
Omvisning Særrundvisning: Lad fortiden tale og nutiden leve,Særrundvisning: Lad fortiden tale og nutiden leve,"Kom med bag facaden på Koldinghus og oplev, hvordan arkitekterne Inger & Johannes Exner lod fortiden stå synligt, mens nutiden fik nyt liv. En unik rundvisning, hvor du også kommer helt op under det imponerende tag.",Søn. 19. apr. til søn. 21. jun. 2026 10:30-12:00,10:30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728865
Workshop Haveskole sæson 2026,Haveskole sæson 2026,"Drømmer du om at lave køkkenhave, men har svært ved at komme i gang? Savner du et fællesskab at dele din glæde ved køkkenhave med? Eller har du lyst til at dele din viden om køkkenhave med andre? Så er Haveskole i Geografisk Have noget for dig.",Tir. 21. apr. til tir. 25. aug. 2026 17:00-19:00,17:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19710120
Foredrag Klog på klassisk musik II,Klog på klassisk musik II,En dybdegående og underholdende rejse ind i den klassiske musiks fantastiske verden!,Ons. 22. apr. til tor. 7. maj 2026,18:30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19084640
Undervisning Sang-teknik,Sang-teknik,Arrangeret af FOF Sydjylland.,Tor. 23. apr. til man. 17. aug. 2026 10 mødegange,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19728094
"Omvisning Guidet oplevelse i ""Kongebarn""","Guidet oplevelse i ""Kongebarn""","Kom med på en guidet oplevelse i ""Kongebarn"", der begynder med en tankevækkende introduktion til udstillingen med fokus på kongebørnenes skæbnefortællinger og udstillingens unikke genstande.",Fre. 24. apr. til lør. 27. jun. 2026 11:00-12:00,11:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19896587
Omvisning Offentlig rundvisning: Vævede mesterværker,Offentlig rundvisning: Vævede mesterværker,"Kom med på en guidet rundvisning i udstillingen ""Vævede mesterværker"" og oplev nogle af Danmarks mest markante gobeliner og billedvævninger.",Lør. 25. apr. til søn. 28. jun. 2026 11:00-13:00,11:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19896586
Musik Southern Avenue (US),Southern Avenue (US),"Southern Avenue, det Blues Music Award-vindende og GRAMMY-nominerede familieband fra Memphis, spiller original Memphis-blues, moderne soul og gospel-inspireret rootsmusik, der er både opløftende og ti.",Man. 27. apr. 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19759320
Foredrag Kim Fupz Aakeson: Skyggen foran mig,Kim Fupz Aakeson: Skyggen foran mig,"Kom og hør Kim Fupz Aakeson fortælle om Skyggen foran mig, der er nomineret til DR Romanprisen. Romanen handler om en mand, der løslades fra fængslet - efter at have tilbragt mange år i et fællesskab med mænd, der alle har gjort noget fatalt.

  Arrangeret af Litteratur6000.",Man. 27. apr. 2026 19:30 - 21:00,19:30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19491658
Andet Knuds Garage International Pubquiz,Knuds Garage International Pubquiz,English Pubquiz at Knuds Garage Come to a pub quiz in a cozy setting with 20 questions.,Man. 27. apr. 2026 20:30 - 22:30,20:30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19535616
Ketchersport Badminton,Badminton,"Du medbringer en ketcher og bolde. Der spilles stort set kun double, da dette er det mest sociale og ikke så hårdt fysisk.",Man. 27. apr. 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19810186
Andet motionstilbud Styrke /ryg træning i Arena Syd VAMDRUP,Styrke /ryg træning i Arena Syd VAMDRUP,"I Styrkeryg trænings timen arbejdes der med alle kroppens muskler. Vi bruger elastik, som kan købes hos IFA. Husk måtte til styrkeøvelser på gulvet.",Man. 27. apr. 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19810841
