Title,Description,Date,Time
Lav selv smykker,"Design dine egne smykker med vores materialeudvalg fra 149,- kr. Tilføj ekstra smukke perler og skab personlige armbånd, øreringe og halskæder. Smykker kan laves hver dag.",Man. 26. maj 2025 til lør. 26. sep. 2026,10:00
Bevægelse i varmt vand,"For dig, der ikke kan deltage på et alment hold. Bevægelse i varmt vand foregår i varmtvands bassin, hvor øvelserne er særligt tilrettelagt til den enkelte deltagers handicap, så som funktionsnedsættelse og mobilitetsproblemer.

  Arrangeret af FOF Sydjylland.",Tir. 19. aug. 2025 til tir. 5. maj 2026,See description
Træning i varmt vand i Vamdrup,"Vedligeholdelse og styrke til hele kroppen. Hver gang vil vi træne muskelstyrke, kondition, balance og udspænding. Vi får pulsen lidt op i det dejlige vand.

  Arrangeret af FOF Sydjylland.",Tir. 19. aug. 2025 til tir. 5. maj 2026 33 mødegange,08.45
Bevægelse i varmt vand,"For dig, der ikke kan deltage på et alment hold. Bevægelse i varmt vand foregår i varmtvands bassin, hvor øvelserne er særligt tilrettelagt til den enkelte deltagers handicap, så som funktionsnedsættelse og mobilitetsproblemer.

  Arrangeret af FOF Sydjylland.",Ons. 20. aug. 2025 til ons. 20. maj 2026,See description
Rygtræning i varmt vand,"For dig med ryglidelser, der ikke kan deltage på et alment hold. Holdet er for dig, som har en alvorlig ryglidelse. Derfor er øvelserne særligt tilrettelagt til den enkelte deltagers handicap-ryglidelse.

  Arrangeret af FOF Sydjylland.",Ons. 20. aug. 2025 til ons. 20. maj 2026 34 mødegange,18.45
Morbus Bechterew,"Her er øvelserne særligt tilrettelagt i forhold til det handicap, som Morbus Bechterew gigten har forvoldt din krop, så bevægeligheden bevares i kroppen og forebygger at ryggen bliver krum.

  Arrangeret af FOF Sydjylland.",Ons. 20. aug. 2025 til ons. 17. jun. 2026 37 mødegange,18.50
Bevægelse i varmt vand,"For dig, der ikke kan deltage på et alment hold. Bevægelse i varmt vand foregår i varmtvands bassin, hvor øvelserne er særligt tilrettelagt til den enkelte deltagers handicap, så som funktionsnedsættelse og mobilitetsproblemer.

  Arrangeret af FOF Sydjylland.",Tor. 21. aug. 2025 til tor. 7. maj 2026 33 mødegange,15.15
Bevægelse i varmt vand,"For dig, der ikke kan deltage på et alment hold. Bevægelse i varmt vand foregår i varmtvands bassin, hvor øvelserne er særligt tilrettelagt til den enkelte deltagers handicap, så som funktionsnedsættelse og mobilitetsproblemer.

  Arrangeret af FOF Sydjylland.",Fre. 22. aug. 2025 til fre. 8. maj 2026,See description
Rygtræning for smerteplagede,"Træningen består i mobiliserende, styrkende og stabiliserende øvelser baseret på seneste forskning indenfor ryglidelser - og er særligt tilrettelagt til den enkelte deltagers mere alvorlige fysiske ryglidelser.

  Arrangeret af FOF Sydjylland.",Tor. 28. aug. 2025 til tor. 30. apr. 2026 30 mødegange,18.10
Offentlig rundvisning i Koldinghus' historie,"Tag med på en spændende tur rundt på slottet med en erfaren guide, der levende og engageret fortæller om slottets mere end 750 års historie. Fra borg til kongeslot og fra storhed til ruin.",Fre. 29. 2025 til fre. 30. aug. 2030 13:00-14:00,13:00
Bevægelse i varmt vand,"For dig, der ikke kan deltage på et alment hold. Bevægelse i varmt vand foregår i varmtvands bassin, hvor øvelserne er særligt tilrettelagt til den enkelte deltagers handicap, så som funktionsnedsættelse og mobilitetsproblemer.

  Arrangeret af FOF Sydjylland.",Man. 1. sep. 2025 til ons. 29. apr. 2026,See description
Bevægelse i varmt vand,"For dig, der ikke kan deltage på et alment hold. Bevægelse i varmt vand foregår i varmtvands bassin, hvor øvelserne er særligt tilrettelagt til den enkelte deltagers handicap, så som funktionsnedsættelse og mobilitetsproblemer.

  Arrangeret af FOF Sydjylland.",Man. 1. sep. 2025 til man. 1. jun. 2026 32 mødegange,12.45
Bowling - kvinder og mænd,Tirsdagsklubben er et dejligt fællesskab for kvinder og mænd. Vi spiller bowling hver tirsdag fra 09.30 - 11.30 i perioden 2.9.2025 til 28.04.2026.,Tir. 2. sep. 2025 til tir. 28. apr. 2026 Tirsdage,09:30
Bevægelse i vand,"For dig, der ikke kan deltage på et alment hold.

  Arrangeret af FOF Sydjylland.",Tir. 2. sep. 2025 til tir. 12. maj 2026 28 mødegange,15.45
Bevægelse i varmt vand,"For dig, der ikke kan deltage på et alment hold. Bevægelse i varmt vand foregår i varmtvands bassin, hvor øvelserne er særligt tilrettelagt til den enkelte deltagers handicap, så som funktionsnedsættelse og mobilitetsproblemer.

  Arrangeret af FOF Sydjylland.",Ons. 3. sep. 2025 til ons. 6. maj 2026,See description
Aqua-rytmik - OK-Skolen,"Aqua-rytmik er bevægelses- og styrketræning i svømmebassin.

  Arrangeret af FOF Sydjylland.",Tor. 4. sep. 2025 til tor. 23. apr. 2026 24 mødegange,See description
Tegn og mal med tvist,"Vi undervises af to med hobby indenfor tegn/mal/broderer på gamle malerier (Sandie) og akvarel på papir (Kirsten). Vi har materialerne, du dukker bare op de mandage du kan. Er der problemer med at komme ind på Det Gamle Posthus, så ring på (26152304).",Man. 20. okt. 2025 til man. 29. jun. 2026 17:00-20.00,17:00
Social madlavning for mænd,"2 kokke underviser i madlavning af madspilsmad. Der er plads til 10 personer i køkkenet hver gang. Tilmeld dig senest tirsdag i den uge du ønsker at deltage, SMS til 26152304.

  Arrangeret af Folkehuset Kolding.",Ons. 22. okt. 2025 til ons. 24. jun. 2026 17:00-20.30,17:00
Galleri Nick Gade Art,Kunstudstillingen er intuitiv billedkunst som du finder i gågaden Søndergade 15B 6000 Kolding. Åben Torsdag/Fredag 11.00 - 17.00 Lørdag 10.00 - 14.00 Øvrige dage er der muligvis åbent. Kontakt galleriet: maler@nickgade.dk 22397382.,Tor. 1. jan. til tor. 31. dec. 2026 Torsdag/fredag 11:00 17:00 Lørdag 10:00 14:00,11:00
Udstilling: Christiansfeld - En by bliver til,"Se genstande fra Brødremenigheds store samling og bliv klogere på Brødremenigheden og Christiansfeld. Brødremenigheden og Museum Kolding er gået sammen om en udstilling, som inviterer dig med på en rejse tilbage til årene omkring 1800 i Christiansfeld.",Fre. 2. jan. til tir. 22. dec. 2026 10:00 - 16:00,10:00
Udstilling: Vores Smykker,"Besøg udstillingen i Søstrehuset i Christiansfeld og se et uddrag af Statens Kunstfond smykkesamling. Smykker er små kunstværker, der kommer til live på kroppen.",Fre. 2. jan. til tir. 22. dec. 2026 10:00 - 16:00,10:00
Moravian church settlements,"I sommeren 2024 blev Christiansfelds verdensarvsstatus udvidet. I Søstrehuset kan man i en lille ny udstilling; Moravian Church Settlement, se og læse historien om herrnhuterstjernen, der er et centralt symbol i den internationale Brødremenighed.",Fre. 2. jan. til tir. 22. dec. 2026 10:00 - 16:00,10:00
Udstilling: 1943 - Gestapo kommer,"Udstillingen tager udgangspunkt i de mennesker, der havde deres gang på Staldgården fra efteråret 1943 og frem til befrielsen. Både de modstandsfolk, der ridsede deres navn i væggen i Zelle II, og Gestapos folk, der befandt sig på den anden side.",Fre. 2. jan. til tir. 22. dec. 2026 10:00 - 16:00,10:00
Udstilling: Made in Kolding,"Udstillingen MADE IN KOLDING fortæller historien om nogle af de virksomheder og produkter, der er blevet skabt i Kolding fra slutningen af 1800-tallet til i dag.",Fre. 2. jan. til tir. 22. dec. 2026 11:00 - 16:00,11:00
